numberColumn1	numberColumn2	numberColumn3	numberColumn4	stringColumn1	stringColumn2	stringColumn3	stringColumn4	stringColumn5
100	2	3	4	string1.0	string2	string3	string4.0	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
1	2	3	4	string1	string2	string3	string4	string5
